id,@id,access,addr:city,addr:housename,addr:postcode,addr:street,amenity,capacity,created_by,fee,highway,layer,lit,name,oneway,opening_hours,operator,orientation,park_ride,parking,supervised,surface,survey:date,wheelchair,parking_id,longitude,latitude
way/29327317,way/29327317,,,,,,parking,,Potlatch 0.10f,,,,,,,,,,,,,,,,way/29327317,72.6010722,22.8225737
way/49406391,way/49406391,,,,,,parking,,,,,,,,,,,,,,,,,,way/49406391,72.5691366,23.0114104
way/150633581,way/150633581,,,,,,parking,,,,,,,,,,,,,,,,,,way/150633581,72.5065333,23.0192531
way/172371646,way/172371646,yes,Ahmedabad,Sardar Vallabhbhai International Airport,380003,Airport Road,parking,100,,yes,,,,Ahmedabad Airport Car Park,,,,,no,surface,yes,,,,way/172371646,72.6204539,23.0742451
way/172371648,way/172371648,,,,,,parking,,,,,,,Domestic Airport Parking,,,,,,,,,,,way/172371648,72.6212963,23.0726267
way/172371652,way/172371652,,,,,,parking,,,yes,,,,,,,,,,,,,,,way/172371652,72.6216806,23.0752279
way/172371653,way/172371653,,,,,,parking,,,yes,,,,,,,,,,surface,,,,limited,way/172371653,72.622349,23.075756
way/172371655,way/172371655,,,,,,parking,,,,,,,,,,,,,,,,,,way/172371655,72.6214004,23.0713098
way/172371666,way/172371666,,,,,,parking,,,yes,,,,,,,,,,,,,,,way/172371666,72.6232482,23.076451
way/172371670,way/172371670,,,,,,parking,,,,,,,Domestic Airport Parking,,,,,,,,,,,way/172371670,72.620741,23.0735863
way/317350057,way/317350057,,Ahmedabad,,380001,,parking,,,no,,,,,,,,,,surface,,,,,way/317350057,72.5786638,23.0232205
way/334470474,way/334470474,,,,,,parking,,,,,,,,,,,,,,,,,,way/334470474,72.5291467,23.0478984
way/334470480,way/334470480,customers,,,,,parking,,,,,,,,,,,,,,,,,,way/334470480,72.528154,23.0493918
way/366258103,way/366258103,,,,,,parking,,,,,,,,,,,,,,,,,,way/366258103,72.5105349,23.0342059
way/366287836,way/366287836,,,,,,parking,,,,,,,,,,,,,,,,,,way/366287836,72.5053979,23.0422236
way/367248676,way/367248676,,,,,,parking,,,,,,,,,,,,,,,,,,way/367248676,72.4710442,23.0375203
way/367948297,way/367948297,,,,,,parking,,,,,,,,,,,,,,,,,,way/367948297,72.517283,23.0164029
way/368401407,way/368401407,,,,,,parking,,,,,,,,,,,,,,,,,,way/368401407,72.501166,23.018752
way/368404480,way/368404480,,,,,,parking,,,,,,,,,,,,,,,,,,way/368404480,72.5198587,23.083456
way/369099410,way/369099410,,,,,,parking,,,,,,,,,,,,,,,,,,way/369099410,72.525943,23.054572
way/374922964,way/374922964,,,,,,parking,,,,,,,,,,,,,,,,,limited,way/374922964,72.5505687,23.0378835
way/374922965,way/374922965,,,,,,parking,,,,,,,,,,,,,,,,,,way/374922965,72.5505988,23.0367139
way/374922966,way/374922966,,,,,,parking,,,,,,,,,,,,,,,,,,way/374922966,72.5501381,23.03631
way/452634274,way/452634274,,Ahmedabad,,,Drive-in Road,parking,,,,,,,Gandhi corporation Parking,,,,,,,,,,,way/452634274,72.5408669,23.0447502
way/456784602,way/456784602,,,,,,parking,,,,,,,,,,,,,,,,,,way/456784602,72.6005306,23.0272632
way/456784605,way/456784605,,,,,,parking,,,,,,,,,,,,,,,,,,way/456784605,72.6005092,23.0259074
way/528401451,way/528401451,,,,,,parking,,,,,,,,,,,,,,,,,,way/528401451,72.5781091,23.0199213
way/530535817,way/530535817,,,,,,parking,,,,,,,,,,,,,,,,,yes,way/530535817,72.4961627,23.08152
way/538925997,way/538925997,,,,,,parking,,,,,,,Management Parking,,,,,,,,,,,way/538925997,72.5468345,23.130082
way/547564655,way/547564655,,,,,,parking,,,,,,,,,,,,,,,,,yes,way/547564655,72.5243732,23.0793211
way/547564656,way/547564656,,,,,,parking,,,,,,,,,,,,,,,,,yes,way/547564656,72.523863,23.0789077
way/547574335,way/547574335,,,,,,parking,,,,,,,,,,,,,,,,,,way/547574335,72.5245842,23.0774645
way/547574341,way/547574341,,,,,,parking,,,,,,,,,,,,,,,,,,way/547574341,72.5248079,23.0782885
way/547574355,way/547574355,,,,,,parking,,,,,,,,,,,,,,,,,,way/547574355,72.5221751,23.0779489
way/548350259,way/548350259,,,,,,parking,,,,,,,Ahmedabad Municipal Corporation Multi Level Automatic Car Parking & Two Wheeler Parking,,,,,,multi-storey,,,,,way/548350259,72.5982107,23.0088085
way/551825459,way/551825459,,,,,,parking,,,,,,,Airport Auto Stand,,,,,,,,,,,way/551825459,72.6198413,23.0736865
node/625175622,node/625175622,,,,,,parking,,,no,,,,Staff Parking,,,,,,,,,,,node/625175622,72.5687751,23.0113878
way/663769111,way/663769111,,,,,,parking,,,,,,,,,,,,,,,,,,way/663769111,72.2612066,23.0140175
way/670401773,way/670401773,,,,,,parking,,,,,,,,,,,,,,,,,,way/670401773,72.6005564,23.0265953
way/972583074,way/972583074,,,,,,parking,,,,,,,,,,,,,,,,,,way/972583074,72.5233793,23.0160587
way/996606363,way/996606363,,,,,,parking,,,,,,,,,,,,,,,,,,way/996606363,72.5948475,23.1058666
way/996606364,way/996606364,,,,,,parking,,,,,,,,,,,,,,,,,,way/996606364,72.5960394,23.1067698
way/996606365,way/996606365,,,,,,parking,,,,,,,,,,,,,,,,,,way/996606365,72.5937713,23.1069014
way/1001259954,way/1001259954,,,,,,parking,,,,,,,,,,,,,,,,,,way/1001259954,72.5727246,23.0111895
way/1018542428,way/1018542428,,,,,,parking,,,,,,,,,,,,,,,,,,way/1018542428,72.5082891,23.0226992
way/1029658866,way/1029658866,,,,,,parking,,,,,,,,,,,,,,,,,,way/1029658866,72.0444305,22.819355
way/1029658868,way/1029658868,,,,,,parking,,,,,,,,,,,,,,,,,,way/1029658868,72.0549649,22.8286538
way/1087439988,way/1087439988,,,,,,parking,,,,,,,,,,,,,,,,,,way/1087439988,72.5559746,23.0212109
way/1193088619,way/1193088619,,,,,,parking,,,,,,,,,,,,,,,,,,way/1193088619,72.5552309,23.0198878
way/1196756497,way/1196756497,,,,,,parking,,,,,,,,,,,,,,,,,,way/1196756497,72.4986627,23.0784295
way/1200779836,way/1200779836,,,,,,parking,,,,,,,,,,,,,,,,,,way/1200779836,72.5158213,23.0682116
way/1202722677,way/1202722677,,,,,,parking,,,,,,,,,,,,,,,,,,way/1202722677,72.4541175,23.045995
way/1239619354,way/1239619354,,,,,,parking,,,,,,,,,,,,,,,,,,way/1239619354,72.5216375,23.0273129
way/1264496309,way/1264496309,,,,,,parking,,,,,,,,,,,,,,,,,,way/1264496309,72.0493662,23.373005
way/1264497800,way/1264497800,,,,,,parking,,,,,,,,,,,,,,,,,,way/1264497800,72.0236901,23.4963386
way/1270347896,way/1270347896,,,,,,parking,,,,,,,,,,,,,,,,,,way/1270347896,72.0155913,23.4971466
way/1270421159,way/1270421159,,,,,,parking,,,,,,,,,,,,,,,,,,way/1270421159,72.2540099,23.0041248
way/1272185139,way/1272185139,,,,,,parking,,,,,,,,,,,,,,,,,,way/1272185139,72.5096828,23.0146617
way/1287023654,way/1287023654,,,,,,parking,,,,,,,,,,,perpendicular,,street_side,,,,,way/1287023654,72.5708688,23.0084434
way/1287023670,way/1287023670,,,,,,parking,,,,,,,,,,,,,,,,,,way/1287023670,72.5691909,23.0062078
way/1289413382,way/1289413382,,,,,,parking,,,,,,,,,,,,,layby,,,,,way/1289413382,72.6573015,22.9721052
way/1290938405,way/1290938405,,,,,,parking,,,,,,,,,,,,,,,,,,way/1290938405,72.6612313,23.0109906
way/1291987404,way/1291987404,,,,,,parking,,,,,,,,,,,,,,,,,,way/1291987404,72.5013663,23.0242981
way/1313198448,way/1313198448,,,,,,parking,,,,,,,,,,,,,,,,,,way/1313198448,72.2684569,23.0225004
way/1339426019,way/1339426019,,,,,,parking,,,,,,,,,,,,,,,,,,way/1339426019,72.5940175,23.0031555
way/1342955770,way/1342955770,,,,,,parking,,,,,,,,,,,,,,,,,,way/1342955770,72.499573,23.0286221
way/1342955794,way/1342955794,,,,,,parking,,,,,,,,,,,,,,,,,,way/1342955794,72.4775503,23.031658
way/1364544420,way/1364544420,,,,,,parking,,,,residential,,,,yes,,,,,,,,,,way/1364544420,72.5300421,23.0175373
way/1364544421,way/1364544421,,,,,,parking,,,,residential,,,,yes,,,,,,,,,,way/1364544421,72.530193,23.0161718
way/1378890300,way/1378890300,,,,,,parking,,,,,,,,,,,,,,,,,,way/1378890300,72.2486887,22.9941702
way/1379019685,way/1379019685,,,,,,parking,,,,,,,,,,,,,,,,,,way/1379019685,72.5363375,23.11943
way/1385500414,way/1385500414,,,,,,parking,,,,,,,,,,,,,,,,,,way/1385500414,72.5896786,23.0775365
node/3239343341,node/3239343341,private,,,,,parking,,,no,,,yes,CEPT University Parking Space,,"Mo-Fr 08:30-20:00; Sa,Su 08:00-15:00; PH off",CEPT University Foundation,,no,surface,yes,paved,,,node/3239343341,72.5505639,23.0385409
node/5164999972,node/5164999972,,,,,,parking,,,,,-1,,New Parking,,,,,,underground,,,,,node/5164999972,72.5442698,23.1289599
node/5197465021,node/5197465021,,,,,,parking,,,,,,,Sanskardham open parking,,,,,,,,,,,node/5197465021,72.427885,23.0307786
node/5297519196,node/5297519196,,,,,,parking,,,,,,,,,,,,,,,,,,node/5297519196,72.56393,23.0408636
node/12770326646,node/12770326646,,,,,,parking,,,,,-1,,,,,,,,underground,,,2024-09-24,,node/12770326646,72.4762188,23.0169826
